"","Country","Happiness_score","GDP_per_capita","Social_support","Healthy_life_expectancy","Freedom_to_make_life_choices","Generosity","Perceptions_of_corruption","continent","year"
"153","Afghanistan","3.36","0.38226565700000004","0.11036849800000001","0.173436046","0.164304629","0.31267982699999997","0.071116321","Asia","2016"
"140","Afghanistan","3.7939999999999996","0.401","0.5820000000000001","0.18100000000000002","0.106","0.312","0.061","Asia","2017"
"144","Afghanistan","3.6319999999999997","0.332","0.537","0.255","0.085","0.191","0.036000000000000004","Asia","2018"
"153","Afghanistan","3.2030000000000003","0.35","0.517","0.361","0.0","0.158","0.025","Asia","2019"
"108","Albania","4.655","0.955302894","0.501627386","0.730069757","0.318660259","0.168395013","0.053009737","Europe","2016"
"108","Albania","4.644","0.996","0.804","0.731","0.381","0.201","0.04","Europe","2017"
"111","Albania","4.586","0.9159999999999999","0.8170000000000001","0.79","0.419","0.149","0.032","Europe","2018"
"106","Albania","4.718999999999999","0.9470000000000001","0.848","0.8740000000000001","0.38299999999999995","0.17800000000000002","0.027000000000000003","Europe","2019"
"37","Algeria","6.355","1.052660227","0.83308512","0.618043005","0.21005684100000002","0.070441589","0.16156989300000002","Africa","2016"
"52","Algeria","5.872000000000001","1.092","1.146","0.618","0.233","0.069","0.146","Africa","2017"
"83","Algeria","5.295","0.9790000000000001","1.1540000000000001","0.687","0.077","0.055","0.135","Africa","2018"
"87","Algeria","5.211","1.002","1.16","0.785","0.086","0.073","0.114","Africa","2019"
"25","Argentina","6.65","1.15136528","1.06612432","0.697112739","0.422835112","0.109889276","0.072960153","Americas","2016"
"23","Argentina","6.599","1.185","1.44","0.695","0.495","0.109","0.06","Americas","2017"
"28","Argentina","6.388","1.073","1.4680000000000002","0.7440000000000001","0.57","0.062","0.054000000000000006","Americas","2018"
"46","Argentina","6.086","1.092","1.432","0.8809999999999999","0.47100000000000003","0.066","0.05","Americas","2019"
"120","Armenia","4.36","0.860859156","0.6247681979999999","0.640833914","0.14037241","0.077928573","0.036157167999999996","Asia","2016"
"120","Armenia","4.376","0.9009999999999999","1.0070000000000001","0.638","0.198","0.083","0.027000000000000003","Asia","2017"
"128","Armenia","4.321000000000001","0.816","0.99","0.6659999999999999","0.26","0.077","0.027999999999999997","Asia","2018"
"115","Armenia","4.559","0.85","1.055","0.815","0.28300000000000003","0.095","0.064","Asia","2019"
"8","Australia","7.313","1.4444261790000001","1.104755282","0.851203442","0.568365872","0.474068999","0.323306561","Oceania","2016"
"9","Australia","7.284","1.484","1.51","0.8440000000000001","0.602","0.478","0.301","Oceania","2017"
"9","Australia","7.272","1.34","1.5730000000000002","0.91","0.647","0.361","0.302","Oceania","2018"
"10","Australia","7.228","1.3719999999999999","1.548","1.036","0.557","0.332","0.29","Oceania","2019"
"11","Austria","7.119","1.450382471","1.083832502","0.8056452270000001","0.543551922","0.328647077","0.21348357199999998","Europe","2016"
"12","Austria","7.006","1.4869999999999999","1.46","0.815","0.568","0.316","0.221","Europe","2017"
"11","Austria","7.138999999999999","1.341","1.504","0.8909999999999999","0.617","0.242","0.22399999999999998","Europe","2018"
"9","Austria","7.246","1.376","1.475","1.016","0.532","0.244","0.226","Europe","2019"
"80","Azerbaijan","5.291","1.123732328","0.76042366","0.545036376","0.353265971","0.056396302","0.179136723","Asia","2016"
"84","Azerbaijan","5.234","1.1540000000000001","1.1520000000000001","0.541","0.39799999999999996","0.045","0.18100000000000002","Asia","2017"
"86","Azerbaijan","5.2010000000000005","1.024","1.161","0.603","0.43","0.031","0.17600000000000002","Asia","2018"
"89","Azerbaijan","5.207999999999999","1.043","1.147","0.769","0.35100000000000003","0.035","0.182","Asia","2019"
"41","Bahrain","6.218","1.440244079","0.94396764","0.656957924","0.473753095","0.17147003100000002","0.25772145399999996","Asia","2016"
"40","Bahrain","6.087000000000001","1.4880000000000002","1.3230000000000002","0.653","0.537","0.17300000000000001","0.257","Asia","2017"
"42","Bahrain","6.105","1.338","1.3659999999999999","0.698","0.594","0.243","0.12300000000000001","Asia","2018"
"36","Bahrain","6.199","1.3619999999999999","1.368","0.871","0.536","0.255","0.11","Asia","2019"
"109","Bangladesh","4.643","0.541766882","0.247490913","0.529888511","0.39777520299999997","0.19132438300000001","0.12583366","Asia","2016"
"109","Bangladesh","4.6080000000000005","0.5870000000000001","0.735","0.5329999999999999","0.478","0.172","0.124","Asia","2017"
"114","Bangladesh","4.5","0.532","0.85","0.579","0.58","0.153","0.14400000000000002","Asia","2018"
"124","Bangladesh","4.456","0.562","0.9279999999999999","0.723","0.527","0.166","0.14300000000000002","Asia","2019"
"60","Belarus","5.8020000000000005","1.130622387","1.049929738","0.6310362820000001","0.290910363","0.13941879599999998","0.174569637","Europe","2016"
"66","Belarus","5.569","1.157","1.445","0.638","0.295","0.155","0.156","Europe","2017"
"72","Belarus","5.483","1.0390000000000001","1.4980000000000002","0.7","0.307","0.10099999999999999","0.154","Europe","2018"
"80","Belarus","5.3229999999999995","1.067","1.465","0.789","0.235","0.094","0.142","Europe","2019"
"17","Belgium","6.928999999999999","1.4253904819999998","1.052487135","0.819593668","0.513537586","0.242399335","0.26247578899999996","Europe","2016"
"16","Belgium","6.891","1.464","1.462","0.818","0.54","0.23199999999999998","0.251","Europe","2017"
"15","Belgium","6.9270000000000005","1.324","1.483","0.894","0.583","0.188","0.24","Europe","2018"
"17","Belgium","6.922999999999999","1.3559999999999999","1.504","0.986","0.473","0.16","0.21","Europe","2019"
"152","Benin","3.484","0.39499226200000004","0.104188949","0.21028366699999998","0.397465467","0.20180082300000002","0.066805065","Africa","2016"
"142","Benin","3.657","0.431","0.435","0.21","0.426","0.20800000000000002","0.061","Africa","2017"
"135","Benin","4.141","0.37799999999999995","0.37200000000000005","0.24","0.44","0.163","0.067","Africa","2018"
"101","Benin","4.883","0.39299999999999996","0.43700000000000006","0.397","0.349","0.175","0.08199999999999999","Africa","2019"
"83","Bhutan","5.196000000000001","0.85269922","0.908361614","0.49759170399999997","0.46073859899999997","0.485455036","0.161598593","Asia","2016"
"96","Bhutan","5.011","0.885","1.34","0.496","0.502","0.474","0.17300000000000001","Asia","2017"
"96","Bhutan","5.082","0.7959999999999999","1.335","0.527","0.541","0.364","0.171","Asia","2018"
"94","Bhutan","5.082","0.813","1.321","0.604","0.457","0.37","0.16699999999999998","Asia","2019"
"58","Bolivia","5.822","0.79421556","0.837788463","0.469702065","0.509607852","0.21697840100000002","0.077457048","Americas","2016"
"57","Bolivia","5.8229999999999995","0.8340000000000001","1.228","0.474","0.5589999999999999","0.226","0.06","Americas","2017"
"61","Bolivia","5.752000000000001","0.7509999999999999","1.2229999999999999","0.508","0.606","0.141","0.054000000000000006","Americas","2018"
"60","Bolivia","5.779","0.7759999999999999","1.209","0.706","0.511","0.13699999999999998","0.064","Americas","2019"
"86","Bosnia and Herzegovina","5.162999999999999","0.93382591","0.643669307","0.707662225","0.09511335900000001","0.298890561","0.0","Europe","2016"
"89","Bosnia and Herzegovina","5.182","0.982","1.069","0.705","0.204","0.32899999999999996","0.0","Europe","2017"
"92","Bosnia and Herzegovina","5.129","0.915","1.078","0.758","0.28","0.21600000000000003","0.0","Europe","2018"
"77","Bosnia and Herzegovina","5.386","0.945","1.212","0.845","0.212","0.263","0.006","Europe","2019"
"136","Botswana","3.9739999999999998","1.094257355","0.891864955","0.347515285","0.440892041","0.12425172300000001","0.10769476","Africa","2016"
"141","Botswana","3.766","1.122","1.222","0.342","0.505","0.099","0.099","Africa","2017"
"145","Botswana","3.59","1.0170000000000001","1.1740000000000002","0.41700000000000004","0.557","0.042","0.092","Africa","2018"
"147","Botswana","3.488","1.041","1.145","0.5379999999999999","0.455","0.025","0.1","Africa","2019"
"16","Brazil","6.952000000000001","1.08754158","1.0393776890000002","0.61415261","0.404254824","0.157763064","0.14165894699999998","Americas","2016"
"21","Brazil","6.635","1.107","1.431","0.617","0.43700000000000006","0.162","0.111","Americas","2017"
"27","Brazil","6.419","0.986","1.474","0.675","0.493","0.11","0.08800000000000001","Americas","2018"
"31","Brazil","6.3","1.004","1.439","0.802","0.39","0.099","0.086","Americas","2019"
"128","Bulgaria","4.217","1.113064647","0.925417423","0.67805624","0.212191105","0.127929702","0.00615381","Europe","2016"
"104","Bulgaria","4.7139999999999995","1.161","1.4340000000000002","0.708","0.289","0.113","0.011000000000000001","Europe","2017"
"99","Bulgaria","4.933","1.054","1.515","0.7120000000000001","0.359","0.064","0.009000000000000001","Europe","2018"
"96","Bulgaria","5.011","1.092","1.5130000000000001","0.815","0.311","0.081","0.004","Europe","2019"
"144","Burkina Faso","3.739","0.31995201100000004","0.630537152","0.212966383","0.33369737899999996","0.243525133","0.125326842","Africa","2016"
"133","Burkina Faso","4.032","0.35","1.043","0.21600000000000003","0.324","0.251","0.12","Africa","2017"
"120","Burkina Faso","4.4239999999999995","0.314","1.097","0.254","0.312","0.175","0.128","Africa","2018"
"114","Burkina Faso","4.587","0.331","1.056","0.38","0.255","0.177","0.113","Africa","2019"
"156","Burundi","2.905","0.068309732","0.23442444199999998","0.157467261","0.04320135","0.202902168","0.09418750599999999","Africa","2016"
"153","Burundi","2.905","0.092","0.63","0.152","0.06","0.204","0.084","Africa","2017"
"155","Burundi","2.905","0.091","0.627","0.145","0.065","0.149","0.076","Africa","2018"
"144","Burundi","3.775","0.046","0.447","0.38","0.22","0.17600000000000002","0.18","Africa","2019"
