Rank,Country,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,continent,year,P GDP per capita,P Social support,P Healthy life expectancy,P Freedom to make life choices,P Generosity,P Perceptions of corruption,SUMOFp
1,Denmark,7.526,1.441784382,1.163744926,0.795040131,0.57941258,0.361709565,0.444532186,Europe,2016,0.19 ,0.15 ,0.11 ,0.08 ,0.05 ,0.06 ,0.64 
2,Switzerland,7.509,1.527334213,1.145236492,0.863029063,0.585571766,0.280825347,0.412032723,Europe,2016,0.20 ,0.15 ,0.11 ,0.08 ,0.04 ,0.05 ,0.64 
3,Iceland,7.501,1.426655412,1.183259368,0.867332816,0.566242337,0.476783901,0.149747416,Europe,2016,0.19 ,0.16 ,0.12 ,0.08 ,0.06 ,0.02 ,0.62 
4,Norway,7.498,1.577440143,1.126895666,0.795789361,0.596085906,0.378948092,0.357757896,Europe,2016,0.21 ,0.15 ,0.11 ,0.08 ,0.05 ,0.05 ,0.64 
5,Finland,7.413,1.40597868,1.134640336,0.81091392,0.571036816,0.254919082,0.410039783,Europe,2016,0.19 ,0.15 ,0.11 ,0.08 ,0.03 ,0.06 ,0.62 
6,Canada,7.404,1.440147758,1.096098185,0.827603579,0.57370019,0.44834137,0.313291997,Americas,2016,0.19 ,0.15 ,0.11 ,0.08 ,0.06 ,0.04 ,0.63 
7,Netherlands,7.339,1.46468389,1.02912271,0.812308967,0.552113593,0.474157631,0.299268067,Europe,2016,0.20 ,0.14 ,0.11 ,0.08 ,0.06 ,0.04 ,0.63 
8,New Zealand,7.334,1.360661983,1.172781706,0.830957234,0.581473291,0.494010955,0.419043779,Oceania,2016,0.19 ,0.16 ,0.11 ,0.08 ,0.07 ,0.06 ,0.66 
9,Australia,7.313,1.444426179,1.104755282,0.851203442,0.568365872,0.474068999,0.323306561,Oceania,2016,0.20 ,0.15 ,0.12 ,0.08 ,0.06 ,0.04 ,0.65 
10,Sweden,7.291,1.45181036,1.087640166,0.831212401,0.582184851,0.382537901,0.408665925,Europe,2016,0.20 ,0.15 ,0.11 ,0.08 ,0.05 ,0.06 ,0.65 
11,Israel,7.267,1.33766067,0.995372832,0.849171937,0.36432001,0.322876483,0.087278329,Asia,2016,0.18 ,0.14 ,0.12 ,0.05 ,0.04 ,0.01 ,0.54 
12,Austria,7.119,1.450382471,1.083832502,0.805645227,0.543551922,0.328647077,0.213483572,Europe,2016,0.20 ,0.15 ,0.11 ,0.08 ,0.05 ,0.03 ,0.62 
13,United States,7.104,1.507962227,1.047815084,0.778997898,0.481630385,0.410768449,0.148683056,Americas,2016,0.21 ,0.15 ,0.11 ,0.07 ,0.06 ,0.02 ,0.62 
14,Costa Rica,7.087,1.068794847,1.021524072,0.761464834,0.552250743,0.225525066,0.105465144,Americas,2016,0.15 ,0.14 ,0.11 ,0.08 ,0.03 ,0.01 ,0.53 
